,0,1,2,3,4,5,6,7
0,For,ADP,20.95982551574707,13437,En,ADP,33.04636001586914,13437
1,the,DET,21.81136131286621,13437,los,DET,34.84641647338867,13437
2,last,ADJ,19.47653007507324,13437,últimos,ADJ,33.78900909423828,13437
3,two,NUM,21.41572380065918,13437,dos,NUM,36.189849853515625,13437
4,and,CCONJ,21.951759338378906,13437,0,0,0.0,0
5,a,DET,19.69693946838379,13437,y,CONJ,36.45429992675781,13437
6,half,NOUN,19.402143478393555,13437,años,NOUN,35.561668395996094,13437
7,years,NOUN,18.026779174804688,13437,medio,NUM,33.46591186523437,13437
8,",",PUNCT,20.501880645751953,13437,",",PUNCT,30.30190467834473,13437
9,I,PRON,24.41384696960449,15841,uno,PRON,34.90599822998047,15841
10,'m,AUX,21.96599578857422,15841,soy,AUX,33.54917526245117,15841
11,one,NUM,20.04889678955078,15841,pocos,PRON,34.528427124023445,15841
12,of,ADP,23.28890419006348,15841,de,ADP,30.414722442626953,15841
13,the,DET,21.076904296875,15841,los,DET,33.62176513671875,15841
14,few,ADJ,18.561738967895508,15841,único,ADJ,30.71083068847656,15841
15,",",PUNCT,21.067039489746094,15841,",",PUNCT,30.10295867919922,15841
16,if,SCONJ,22.400379180908203,15841,si,SCONJ,32.592159271240234,15841
17,not,PART,21.513765335083008,15841,no,ADV,34.062850952148445,15841
18,the,DET,19.3936824798584,15841,el,DET,32.04144287109375,15841
19,only,ADJ,17.851545333862305,15841,infantil,ADJ,32.50616455078125,15841
20,",",PUNCT,21.084888458251953,15841,",",PUNCT,30.06307601928711,15841
21,child,NOUN,18.2739200592041,15841,psiquiatra,NOUN,32.336719512939446,15841
22,psychiatrist,NOUN,19.921131134033203,15841,0,0,0.0,0
23,0,0,0.0,0,que,PRON,32.450836181640625,19286
24,operating,VERB,23.371524810791016,19286,operó,VERB,35.677425384521484,19286
25,in,ADP,22.86830139160156,19286,en,ADP,34.239303588867195,19286
26,camps,NOUN,21.14127540588379,19286,campos,NOUN,34.45924758911133,19286
27,refugee,NOUN,20.87990951538086,19286,de,ADP,32.641429901123054,19286
28,shorelines,NOUN,20.64617919921875,19286,refugiados,NOUN,32.796077728271484,19286
29,",",PUNCT,22.802043914794922,19286,",",PUNCT,30.88323974609375,19286
30,and,CCONJ,22.197481155395508,19286,en,ADP,31.295732498168945,19286
31,boats,NOUN,20.29408836364746,19286,costas,NOUN,34.39059066772461,19286
32,0,0,0.0,0,y,CONJ,33.964134216308594,19286
33,0,0,0.0,0,en,ADP,31.20672607421875,19286
34,rescue,NOUN,18.73641395568848,19286,botes,NOUN,34.6331787109375,19286
35,0,0,0.0,0,de,ADP,31.45285987854004,19286
36,0,0,0.0,0,rescate,NOUN,31.749406814575195,19286
37,in,ADP,19.202226638793945,22815,de,ADP,30.90625762939453,22815
38,Greece,PROPN,21.966323852539066,22815,Grecia,PROPN,36.08096694946289,22815
