,0,1,2,3,4,5,6,7
0,The,DET,21.46214485168457,15260,El,DET,34.982421875,15260
1,future,NOUN,19.60855484008789,15260,futuro,NOUN,31.948331832885746,15260
2,",",PUNCT,20.209068298339844,15260,",",PUNCT,28.65195083618164,15260
3,0,0,0.0,0,tal,NOUN,30.23785781860352,15260
4,we,PRON,25.20537757873535,15260,y,CONJ,33.053401947021484,15260
5,as,SCONJ,20.55402183532715,15260,como,SCONJ,34.885433197021484,15260
6,it,PRON,22.596269607543945,15260,lo,PRON,32.611282348632805,15260
7,know,VERB,24.6960506439209,15260,conocemos,VERB,33.267112731933594,15260
8,",",PUNCT,21.00371551513672,15260,",",PUNCT,29.36159896850586,15260
9,is,AUX,22.870737075805664,15260,es,AUX,35.5616569519043,15260
10,very,ADV,24.60334205627441,15260,bastante,ADV,36.992923736572266,15260
11,unpredictable,ADJ,22.46026992797852,15260,impredecible,ADJ,36.03053665161133,15260
12,.,PUNCT,22.90915489196777,15260,.,PUNCT,32.70246124267578,15260
13,The,DET,19.614992141723636,19260,Las,DET,31.93376159667969,19260
14,best,ADJ,20.281864166259766,19260,mejores,ADJ,37.387290954589844,19260
15,minds,NOUN,19.95145034790039,19260,mentes,NOUN,37.68238830566406,19260
16,in,ADP,20.198713302612305,19260,de,ADP,32.410430908203125,19260
17,the,DET,20.762548446655273,19260,las,DET,33.68822479248047,19260
18,best,ADJ,21.298336029052734,19260,mejores,ADJ,36.32290267944336,19260
19,institutions,NOUN,19.175195693969727,19260,instituciones,NOUN,34.62917709350586,19260
20,generally,ADV,22.96501159667969,21260,normalmente,ADV,33.39699935913086,21260
21,get,AUX,24.24770355224609,21260,no,ADV,31.8595027923584,21260
22,it,PRON,22.990442276000977,21260,lo,PRON,32.59077835083008,21260
23,wrong,ADJ,23.22134780883789,21260,comprenden,VERB,34.23202133178711,21260
24,.,PUNCT,22.183717727661133,21260,.,PUNCT,30.88710594177246,21260
25,This,DET,23.246082305908203,23260,la,DET,32.212596893310554,23260
26,is,AUX,22.404735565185547,23260,Ocurre,VERB,32.45046615600586,23260
27,in,ADP,22.61430740356445,23260,en,ADP,33.336753845214844,23260
28,technology,NOUN,21.71825408935547,23260,tecnología,NOUN,31.79140663146973,23260
29,.,PUNCT,21.913494110107425,23260,.,PUNCT,33.511009216308594,23260
30,This,DET,23.374570846557614,23260,Ocurre,VERB,32.15321731567383,23260
31,is,AUX,23.52009582519531,23260,0,0,0.0,0
32,in,ADP,21.687294006347656,23260,en,ADP,32.872825622558594,23260
33,the,DET,24.205753326416016,23260,el,DET,34.777576446533196,23260
