,0,1,2,3,4,5,6,7
0,of,ADP,20.057857513427734,20330,del,ADP,32.38389205932617,20330
1,AIDS,PROPN,20.528467178344727,20330,SIDA,PROPN,33.91907119750977,20330
2,",",PUNCT,22.370954513549805,20330,",",PUNCT,31.87980842590332,20330
3,they,PRON,24.068889617919922,20330,0,0,0.0,0
4,'re,AUX,22.882776260375977,20330,años,NOUN,33.392261505126946,20330
5,gon,VERB,21.3298454284668,20330,recordaremos,VERB,32.68514633178711,20330
6,na,PART,23.365467071533203,20330,0,0,0.0,0
7,think,VERB,24.547027587890625,20330,0,0,0.0,0
8,back,ADV,22.13388442993164,20330,0,0,0.0,0
9,to,ADP,20.508176803588867,20330,0,0,0.0,0
10,the,DET,21.49555015563965,20330,los,DET,35.49379348754883,20330
11,1980s,NUM,19.59157371520996,20330,80,NUM,31.294109344482425,20330
12,.,PUNCT,21.418092727661133,20330,.,PUNCT,33.59763336181641,20330
13,And,CCONJ,21.934030532836914,23330,Y,CONJ,32.01915740966797,23330
14,certainly,ADV,21.95579719543457,23330,en,ADP,33.60603713989258,23330
15,this,DET,22.362548828125,23330,efecto,NOUN,31.33951759338379,23330
16,",",PUNCT,19.76610374450684,23330,",",PUNCT,30.98556709289551,23330
17,was,AUX,23.708539962768555,23330,fue,AUX,33.64682006835937,23330
18,the,DET,24.00406837463379,23330,la,DET,33.987808227539055,23330
19,decade,NOUN,18.605411529541016,23330,década,NOUN,29.837188720703125,23330
20,in,ADP,20.934297561645508,23330,del,ADP,34.43305206298828,23330
21,which,DET,23.601449966430664,23330,descubrimiento,NOUN,29.4235897064209,23330
22,we,PRON,25.217609405517575,23330,del,ADP,34.295272827148445,23330
23,AIDS,PROPN,22.793081283569336,23330,SIDA,PROPN,34.54455947875977,23330
24,discovered,VERB,22.06583976745605,23330,",",PUNCT,30.38926124572754,23330
25,and,CCONJ,18.326690673828125,26330,y,CONJ,33.92535400390625,26330
26,the,DET,21.329143524169922,26330,del,ADP,34.14597702026367,26330
27,virus,NOUN,18.235897064208984,26330,virus,NOUN,32.926712036132805,26330
28,0,0,0.0,0,que,PRON,34.71934127807617,26330
29,it,PRON,21.472448348999023,26330,lo,PRON,31.73543930053711,26330
30,causes,VERB,22.113792419433594,26330,origina,VERB,30.48937225341797,26330
31,",",PUNCT,21.85096549987793,26330,",",PUNCT,28.93727302551269,26330
32,that,DET,22.51618003845215,26330,el,DET,34.39996719360352,26330
33,HIV,PROPN,24.859554290771484,26330,VIH,PROPN,35.566436767578125,26330
34,.,PUNCT,19.35590362548828,26330,.,PUNCT,32.98630142211914,26330
35,But,CCONJ,22.26677703857422,29330,Pero,CONJ,32.350547790527344,29330
36,in,ADP,20.697751998901367,29330,de,ADP,31.315114974975586,29330
37,fact,NOUN,20.618040084838867,29330,hecho,NOUN,29.93938636779785,29330
38,this,DET,23.325063705444336,29330,este,DET,33.42901992797852,29330
39,virus,NOUN,22.457277297973636,29330,virus,NOUN,33.833614349365234,29330
40,crossed,VERB,22.9635009765625,29330,saltó,VERB,33.705718994140625,29330
41,over,ADP,20.17963218688965,29330,hacia,ADP,34.721435546875,29330
42,into,ADP,19.081796646118164,29330,el,DET,33.55801010131836,29330
43,humans,NOUN,21.727930068969727,29330,humano,NOUN,29.42608642578125,29330
44,many,ADJ,19.383678436279297,29330,varias,DET,33.595272064208984,29330
45,decades,NOUN,21.799467086791992,29330,décadas,NOUN,33.59885406494141,29330
46,before,ADV,22.099584579467773,29330,antes,ADV,35.90321350097656,29330
47,",",PUNCT,22.351463317871094,29330,",",PUNCT,31.575897216796875,29330
48,from,ADP,21.56259536743164,33330,desde,ADP,34.02289581298828,33330
49,chimpanzees,NOUN,20.187055587768555,33330,el,DET,33.097518920898445,33330
50,where,ADV,21.515853881835934,33330,chimpancé,PROPN,31.31336212158203,33330
51,",",PUNCT,20.75066566467285,33330,",",PUNCT,32.413467407226555,33330
52,0,0,0.0,0,donde,PRON,34.191417694091804,33330
53,the,DET,22.73923301696777,33330,el,DET,34.307479858398445,33330
54,virus,NOUN,21.05824851989746,33330,virus,NOUN,34.250816345214844,33330
55,humans,NOUN,21.55377960205078,33330,se,PRON,30.8590030670166,33330
56,originated,VERB,21.30245780944824,33330,originó,VERB,35.70230484008789,33330
57,",",PUNCT,19.18092155456543,33330,",",PUNCT,30.84296989440918,33330
58,into,ADP,20.66563606262207,33330,hacia,ADP,32.477371215820305,33330
59,these,DET,24.421470642089844,33330,los,DET,35.97446823120117,33330
60,apes,NOUN,21.33876037597656,33330,humanos,NOUN,34.89352798461914,33330
61,who,PRON,22.34061622619629,33330,que,PRON,31.88479804992676,33330
62,0,0,0.0,0,los,PRON,31.317237854003906,33330
63,hunt,VERB,21.238849639892575,33330,cazan,VERB,36.00922393798828,33330
64,.,PUNCT,20.625274658203125,33330,.,PUNCT,32.46970367431641,33330
65,This,DET,23.25094223022461,37330,Esta,DET,33.79366683959961,37330
66,photo,NOUN,21.852651596069336,37330,foto,NOUN,33.540958404541016,37330
67,was,AUX,24.55481719970703,37330,fue,AUX,38.04220581054688,37330
68,taken,VERB,21.65379905700684,37330,tomada,VERB,36.00837326049805,37330
69,0,0,0.0,0,antes,ADV,36.36831283569336,37330
70,before,ADP,22.030689239501953,37330,de,ADP,31.745271682739254,37330
71,the,DET,20.747602462768555,37330,la,DET,30.999229431152344,37330
72,Great,PROPN,20.408109664916992,37330,Gran,ADJ,34.468772888183594,37330
73,Depression,PROPN,20.745813369750977,37330,Depresión,PROPN,35.2226448059082,37330
74,in,ADP,19.033470153808594,40330,en,ADP,33.243492126464844,40330
75,Brazzaville,PROPN,22.00078582763672,40330,Brazzaville,PROPN,35.94025421142578,40330
76,",",PUNCT,20.930709838867188,40330,",",PUNCT,30.10495185852051,40330
